,region,project_number,lineshort,feature,ctn
0,proj1,12761,22snilca,PIFE-NOTC,87569
1,proj1,12761,22snilca,OTHER,44579
2,proj1,12761,22snilca,MELO,3758
3,proj1,12761,22snilca,NOTH,2115
4,proj1,12761,22snilca,pLIN,1061
5,proj1,12761,22snilca,MIFE,827
6,proj1,12761,22snilca,LS-MIFE,504
7,proj1,12761,22snilca,LS-MELO,197
8,proj1,12761,22snilca,LIN,128
9,proj1,12761,22snilca,CRAC,93
10,proj1,12761,22snilca,LS-LIN,44
11,proj1,12761,22snilca,LS-pLIN,43
12,proj1,12761,22snilca,LS-CRAC,15
13,proj1,12761,22snilca,MELO-CORR,11
0,proj0,12698,20belles,CRAC,268
1,proj0,12698,20belles,LS-IND,179
2,proj0,12698,20belles,OTHER,26
3,proj0,12698,20belles,CRAC-C,20
4,proj0,12698,20belles,pLS-IND,17
5,proj0,12698,20belles,LS-MIFE,11
6,proj0,12698,20belles,CRAC-GRP,10
7,proj0,12698,20belles,pLIN,10
8,proj0,12698,20belles,LS-MELO,6
9,proj0,12698,20belles,MIFE,1
0,proj0,12542,30307308,IRRE,33068
1,proj0,12542,30307308,MIFE,16264
2,proj0,12542,30307308,MELO-CORR,5750
3,proj0,12542,30307308,NOTH,4722
4,proj0,12542,30307308,LS,958
5,proj0,12542,30307308,COAT-IMP,527
6,proj0,12542,30307308,INST,352
7,proj0,12542,30307308,LS-IND,313
8,proj0,12542,30307308,LIN,94
9,proj0,12542,30307308,LS-MIFE,92
10,proj0,12542,30307308,CRAC,36
11,proj0,12542,30307308,CRAC-GRP,8
12,proj0,12542,30307308,LIN-GRP,7
13,proj0,12542,30307308,PIFE-NOTC,1
14,proj0,12542,30307308,LS-MELO,1
0,proj0,15923,24wooree,OTHER,5024
1,proj0,15923,24wooree,LS-FEAT,1566
2,proj0,15923,24wooree,MELO,939
3,proj0,15923,24wooree,pLIN,268
4,proj0,15923,24wooree,MIFE,246
5,proj0,15923,24wooree,COAT-IMP,242
6,proj0,15923,24wooree,CRAC,136
7,proj0,15923,24wooree,LS-pLIN,90
8,proj0,15923,24wooree,LS-CRAC,15
9,proj0,15923,24wooree,NOTH,7
10,proj0,15923,24wooree,CRAC-C,5
11,proj0,15923,24wooree,LS-LIN,2
12,proj0,15923,24wooree,CRAC-GRP,2
0,proj0,15743,24joared,OTHER,28191
1,proj0,15743,24joared,MELO,351
2,proj0,15743,24joared,pLIN,217
3,proj0,15743,24joared,MIFE,101
4,proj0,15743,24joared,COAT-IMP,64
5,proj0,15743,24joared,CRAC,13
6,proj0,15743,24joared,LIN,12
0,proj0,12542,24110vol,PIFE-NOTC,17838
1,proj0,12542,24110vol,MIFE,14484
2,proj0,12542,24110vol,IRRE,12243
3,proj0,12542,24110vol,NOTH,2724
4,proj0,12542,24110vol,MELO-CORR,585
5,proj0,12542,24110vol,INST,310
6,proj0,12542,24110vol,COAT-IMP,210
7,proj0,12542,24110vol,LS-MIFE,198
8,proj0,12542,24110vol,LS-MELO,88
9,proj0,12542,24110vol,LIN,23
10,proj0,12542,24110vol,LIN-GRP,10
11,proj0,12542,24110vol,LS-IND,3
0,proj0,12542,30305306,PIFE-NOTC,12839
1,proj0,12542,30305306,MIFE,4587
2,proj0,12542,30305306,MELO-CORR,2844
3,proj0,12542,30305306,LS,1979
4,proj0,12542,30305306,NOTH,1481
5,proj0,12542,30305306,UNKWN,1240
6,proj0,12542,30305306,LS-MIFE,234
7,proj0,12542,30305306,INST,100
8,proj0,12542,30305306,LS-MELO,68
9,proj0,12542,30305306,OTHER,9
10,proj0,12542,30305306,LS-IND,9
11,proj0,12542,30305306,pLS-IND,4
12,proj0,12542,30305306,LIN,3
13,proj0,12542,30305306,LIN-GRP,3
14,proj0,12542,30305306,MELO-MIFE,1
0,proj0,15914,26792822,OTHER,146138
1,proj0,15914,26792822,MELO,2652
2,proj0,15914,26792822,MIFE,1003
3,proj0,15914,26792822,pLIN,365
4,proj0,15914,26792822,NOTH,322
5,proj0,15914,26792822,LS-pLIN,268
6,proj0,15914,26792822,LS-MIFE,191
7,proj0,15914,26792822,LIN,118
8,proj0,15914,26792822,CRAC,75
9,proj0,15914,26792822,COAT-IMP,69
10,proj0,15914,26792822,LS-LIN,26
11,proj0,15914,26792822,LS-CRAC,8
12,proj0,15914,26792822,LS-MELO,5
13,proj0,15914,26792822,CRAC-GRP,3
14,proj0,15914,26792822,LIN-GRP,2
15,proj0,15914,26792822,PIFE-NOTC,1
0,proj0,14369,30tuccas,OTHER,480873
1,proj0,14369,30tuccas,MIFE,386
2,proj0,14369,30tuccas,MELO-CORR,368
3,proj0,14369,30tuccas,pLIN,144
4,proj0,14369,30tuccas,LS,143
5,proj0,14369,30tuccas,INST,132
6,proj0,14369,30tuccas,COAT-IMP,100
7,proj0,14369,30tuccas,CRAC,71
8,proj0,14369,30tuccas,LIN,40
9,proj0,14369,30tuccas,NOTH,22
0,proj0,12542,24156158,MELO-CORR,21066
1,proj0,12542,24156158,PIFE-NOTC,2493
2,proj0,12542,24156158,OTHER,2282
3,proj0,12542,24156158,MIFE,666
4,proj0,12542,24156158,INST,347
5,proj0,12542,24156158,NOTH,186
6,proj0,12542,24156158,LS-MIFE,132
7,proj0,12542,24156158,LS-MELO,122
8,proj0,12542,24156158,IRRE,23
9,proj0,12542,24156158,LIN,20
10,proj0,12542,24156158,pLIN,14
11,proj0,12542,24156158,LIN-GRP,8
