,Song
0,Eloy de Jong - Offene Arme (R...
1,Beatrice Egli - Herzgesteuert
2,Julian David - Heute lassen w...
3,Ross Antony - Ich lieb die L...
4,Howard Carpendale - Du bist das Le...
5,Roland Kaiser - Freunde bleibe...
6,Sarah Zucker - Côte d'Azur
7,Wolkenfrei & Vanessa Mai - Selfie von heu...
8,Oli.P - Bester Tag
9,Ben Zucker - Heute nicht!
10,Vincent Gross - Love Life Bala...
11,Maria Voskania - Schwimm mit de...
12,Ramon Roselly - Ich freu mich ...
13,Maite Kelly - Ich brauche ei...
14,Mitch Keller - Du bist mein C...
15,Beatrice Egli - Balance
16,Norman Langen - Vor Glück gewe...
17,Ute Freudenberg - Jetzt erst rec...
18,Daniel Sommer - man darf doch ...
19,Wolkenfrei - Uns gehört die...
20,Romy Kirsch - Marseille
21,Beatrice Egli - Neuanfang
22,Uta Bresan - Wer ist Ann So...
23,Patrick Lindner - (All) deine Fa...
24,Neonlicht - Ja oder nein
25,Claudia Jung - Der Moment uns...
26,Bernhard Brink - Leb laut
27,Fantasy - Wenn der Wind ...
28,Christian Lais - Vielleicht für...
29,"Semino Rossi - Vamos, Amore m..."
30,Sonia Liebig - Liebe ist für ...
31,Ross Antony - Lass die Liebe...
32,Francine Jordi - Herzburnout
33,Anni Perka - Liebe auf den ...
34,Andrea Berg - Viel zu schön ...
35,Maximilian Arland - Zeit sich zu v...
36,Melanie Payer - Herzüber
37,Linda Fäh - Kinder der Zei...
38,Wolfgang Petry - Stark
39,Thomas Anders & Florian Silbereisen - Alles wird gut
40,Olaf der Flipper feat. Pia Malo - Solo Soleil
41,G. G. Anderson - Sommerregennac...
42,Nik P. - Mit den Füßen ...
